origin,destination,estimate
Alaska,Alabama,780.0
Arizona,Alabama,4470.0
Arkansas,Alabama,1584.0
California,Alabama,4921.0
Colorado,Alabama,1601.0
Connecticut,Alabama,283.0
Delaware,Alabama,330.0
District of Columbia,Alabama,273.0
Florida,Alabama,17515.0
Georgia,Alabama,19270.0
Hawaii,Alabama,775.0
Idaho,Alabama,105.0
Illinois,Alabama,3362.0
Indiana,Alabama,1488.0
Iowa,Alabama,151.0
Kansas,Alabama,373.0
Kentucky,Alabama,1806.0
Louisiana,Alabama,2410.0
Maine,Alabama,0.0
Maryland,Alabama,457.0
Massachusetts,Alabama,504.0
Michigan,Alabama,1858.0
Minnesota,Alabama,1224.0
Mississippi,Alabama,8391.0
Missouri,Alabama,1983.0
Montana,Alabama,347.0
Nebraska,Alabama,295.0
Nevada,Alabama,1456.0
New Hampshire,Alabama,152.0
New Jersey,Alabama,548.0
New Mexico,Alabama,600.0
New York,Alabama,2701.0
North Carolina,Alabama,3656.0
North Dakota,Alabama,128.0
Ohio,Alabama,1993.0
Oklahoma,Alabama,481.0
Oregon,Alabama,1416.0
Pennsylvania,Alabama,1341.0
Rhode Island,Alabama,213.0
South Carolina,Alabama,1642.0
South Dakota,Alabama,62.0
Tennessee,Alabama,12640.0
Texas,Alabama,7504.0
Utah,Alabama,497.0
Vermont,Alabama,0.0
Virginia,Alabama,3171.0
Washington,Alabama,1586.0
West Virginia,Alabama,311.0
Wisconsin,Alabama,718.0
Wyoming,Alabama,49.0
Puerto Rico,Alabama,415.0
U.S. Island Area3,Alabama,0.0
Foreign Country,Alabama,17824.0
Alabama,Alaska,204.0
Arizona,Alaska,618.0
Arkansas,Alaska,159.0
California,Alaska,4697.0
Colorado,Alaska,1087.0
Connecticut,Alaska,0.0
Delaware,Alaska,258.0
District of Columbia,Alaska,220.0
Florida,Alaska,1380.0
Georgia,Alaska,411.0
Hawaii,Alaska,1023.0
Idaho,Alaska,803.0
Illinois,Alaska,73.0
Indiana,Alaska,486.0
Iowa,Alaska,33.0
Kansas,Alaska,1200.0
Kentucky,Alaska,781.0
Louisiana,Alaska,198.0
Maine,Alaska,0.0
Maryland,Alaska,201.0
Massachusetts,Alaska,353.0
Michigan,Alaska,152.0
Minnesota,Alaska,611.0
Mississippi,Alaska,174.0
Missouri,Alaska,107.0
Montana,Alaska,936.0
Nebraska,Alaska,387.0
Nevada,Alaska,98.0
New Hampshire,Alaska,18.0
New Jersey,Alaska,513.0
New Mexico,Alaska,22.0
New York,Alaska,1232.0
North Carolina,Alaska,1410.0
North Dakota,Alaska,156.0
Ohio,Alaska,601.0
Oklahoma,Alaska,275.0
Oregon,Alaska,3187.0
Pennsylvania,Alaska,213.0
Rhode Island,Alaska,0.0
South Carolina,Alaska,211.0
South Dakota,Alaska,94.0
Tennessee,Alaska,340.0
Texas,Alaska,980.0
Utah,Alaska,561.0
Vermont,Alaska,45.0
Virginia,Alaska,1331.0
Washington,Alaska,2283.0
West Virginia,Alaska,0.0
Wisconsin,Alaska,34.0
Wyoming,Alaska,520.0
Puerto Rico,Alaska,192.0
U.S. Island Area3,Alaska,0.0
Foreign Country,Alaska,4859.0
Alabama,Arizona,1373.0
Alaska,Arizona,2017.0
Arkansas,Arizona,1896.0
California,Arizona,54222.0
Colorado,Arizona,8344.0
Connecticut,Arizona,1085.0
Delaware,Arizona,514.0
District of Columbia,Arizona,74.0
Florida,Arizona,12762.0
Georgia,Arizona,6326.0
Hawaii,Arizona,2226.0
Idaho,Arizona,5132.0
Illinois,Arizona,9030.0
Indiana,Arizona,2974.0
Iowa,Arizona,6805.0
Kansas,Arizona,3383.0
Kentucky,Arizona,1666.0
Louisiana,Arizona,2514.0
Maine,Arizona,350.0
Maryland,Arizona,1972.0
Massachusetts,Arizona,3316.0
Michigan,Arizona,6740.0
Minnesota,Arizona,5582.0
Mississippi,Arizona,816.0
Missouri,Arizona,7390.0
Montana,Arizona,2261.0
Nebraska,Arizona,2694.0
Nevada,Arizona,6341.0
New Hampshire,Arizona,612.0
